index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,6.16804,2.05601,3672.065,-30.824,-5082.102,43422.582,-5422.465,22576.526
1,20.0,6.61027,2.20342,3622.765,-59.031,-5034.586,40513.319,-7421.399,14376.818
2,40.0,6.69825,2.23275,4327.626,75.232,-5004.908,40186.142,-18588.938,15602.43
3,60.0,7.11256,2.37085,3662.623,58.508,-5012.404,37642.014,-24320.415,19182.482
4,80.0,6.76444,2.25481,4559.37,129.369,-4973.735,39338.693,-26246.989,16455.951
5,100.0,7.27521,2.42507,4651.375,121.344,-4984.616,36613.554,-21875.606,14655.015
6,120.0,6.88306,2.29435,1891.853,-31.702,-5017.959,27110.576,-12279.396,18315.034
7,140.0,5.22018,1.74006,788.294,-30.007,-4986.929,14814.222,-19781.025,12257.829
8,160.0,3.20685,1.06895,84.41,-15.681,-4912.91,595.683,-26891.278,-8782.166
9,180.0,1.15581,0.38527,398.734,16.604,-4928.812,-21.148,-30363.094,-3370.074
10,200.0,0.26972,0.08991,480.756,-21.765,-4933.293,-10.005,-28667.489,-1215.893
11,220.0,0.10321,0.0344,478.038,-28.743,-4904.496,1.476,-28521.032,-676.122
12,240.0,0.14309,0.0477,478.532,-44.838,-4903.523,-1.338,-28369.535,-512.18
13,260.0,0.08948,0.02983,479.09,-46.443,-4909.865,-2.066,-28098.452,-537.748
14,280.0,0.03158,0.01058,488.598,-23.649,-4914.681,6.959,-27708.69,-442.299
