index,t_s,rpm,rev,Fx,Fy,Fz,Mx,My,Mz
0,-0.0,5.94361,1.9812,3911.231,168.076,-5064.063,33018.91,-18291.568,31055.458
1,20.0,5.87501,1.95834,3839.445,156.612,-5067.018,32055.021,-16978.281,33159.15
2,40.0,5.87168,1.95723,3890.057,89.728,-5012.055,31961.954,-18821.343,18993.425
3,60.0,6.14863,2.04954,4238.085,72.911,-4977.365,38923.894,-20774.891,9173.445
4,80.0,6.15832,2.05277,4290.716,30.24,-4986.016,39742.901,-13777.107,8958.333
5,100.0,6.11016,2.03672,4113.683,78.644,-4990.76,37143.202,-17764.745,11520.012
6,120.0,5.74059,1.91353,3620.502,37.687,-5035.106,31282.309,-10154.29,13297.616
7,140.0,5.42442,1.80814,3498.942,54.906,-5039.137,27416.026,-17687.605,16935.753
8,160.0,6.01172,2.00391,4206.388,113.004,-4974.659,35512.479,-31243.156,14615.836
9,180.0,6.16605,2.05535,4394.268,102.975,-5006.038,41186.823,-22289.959,16915.196
10,200.0,6.12327,2.04109,4221.485,64.072,-5003.072,42260.77,-23619.731,11171.806
11,220.0,6.11498,2.03833,3971.46,70.955,-5018.431,42170.434,-20140.673,15629.756
12,240.0,6.1871,2.06237,3720.415,80.778,-5010.258,43173.538,-27060.946,17601.763
13,260.0,5.90751,1.96917,3728.576,57.904,-4984.834,41503.743,-23801.672,11437.476
14,280.0,5.79798,1.93266,3739.632,49.939,-4984.718,31288.096,-25590.802,12611.904
15,300.0,5.46755,1.82252,3357.471,21.762,-5015.758,28126.269,-23531.75,11129.97
16,320.0,5.10259,1.70086,2981.487,32.777,-4973.076,24380.625,-31869.444,7614.954
17,340.0,5.14092,1.71364,3107.214,34.195,-4960.226,24552.869,-34689.775,2732.126
18,360.0,5.10392,1.70131,3048.243,-24.056,-4987.657,24219.291,-22646.318,4828.056
19,380.0,4.93276,1.64425,2851.242,-54.49,-5006.941,22653.752,-11292.358,5602.585
20,400.0,5.32573,1.77524,3423.516,-51.957,-5012.555,26553.655,-11356.455,7017.138
21,420.0,5.9868,1.9956,4172.09,46.795,-5009.024,33983.218,-16932.096,14132.53
22,440.0,6.15944,2.05315,4217.244,96.109,-5004.952,36258.082,-17808.533,18981.517
23,460.0,5.88042,1.96014,3827.946,96.543,-5040.695,32716.869,-20780.038,19534.833
24,480.0,5.60274,1.86758,3533.768,136.768,-5023.82,29334.474,-30170.084,24607.998
25,500.0,5.3586,1.7862,3260.986,85.633,-5021.625,26790.526,-23954.422,20573.963
26,520.0,5.18631,1.72877,3152.845,83.451,-5034.405,25016.555,-17443.503,24011.114
27,540.0,5.59293,1.86431,3718.741,53.229,-5069.487,29271.006,-6545.93,23073.207
28,560.0,5.9937,1.9979,4117.714,88.481,-5020.541,33575.042,-15782.959,19155.824
29,580.0,6.17834,2.06974,4311.205,167.865,-5047.894,38360.332,-18235.959,28664.496
