load_case,bearing,detailed_result_type,has_converged,num_elements_in_contact,axial_to_radial_load_ratio,max_normal_stress_inner_Pa,max_normal_stress_outer_Pa,P_dynamic_equiv_load_N,L10_basic_life_cycles,L10_basic_life_time_h,L10m_modified_life_cycles,L10m_modified_life_time_h,a1_reliability_factor,aISO_systems_factor,basic_life_safety_factor,P0_static_equiv_load_N,s0_static_safety_factor,Cr_dyn_load_rating_inner_N,Cr_dyn_load_rating_outer_N,ref_basic_life_cycles,ref_basic_life_time_h,ref_modified_life_cycles,ref_modified_life_time_h
Fy_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,0.7603334774754659,1269665897.8841178,1230932219.3087656,8427213.195482068,25354398.801023472,inf,2534453.698000963,inf,1.0,0.09996110410232466,inf,6566996.499065763,14.044276846987966,983109.5400849505,1068770.2146232375,46156318.08096315,inf,4613959.238038177,inf
Fy_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,37,0.39790672867498905,1961589687.8202777,1900953259.177725,18437108.522755176,1865050.2918887625,inf,186451.9876643229,inf,1.0,0.09997156027117121,inf,18437108.522755176,5.00234170516766,983109.5400849505,1068770.2146232375,1721725.916001861,inf,172126.5565892438,inf
Fy_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,0.6050431068394774,1546623680.005959,1499152439.5367353,13372473.633910164,5440357.254018873,inf,543859.7970204246,inf,1.0,0.09996766234766427,inf,12125168.368150517,7.606386491781821,983109.5400849505,1068770.2146232375,8751608.69994462,inf,874889.0613950872,inf
Fz_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,40,0.40740860644971194,1471016730.3609564,1426156496.2992463,9321575.233739972,18114883.983613376,inf,1810811.6597924293,inf,1.0,0.09996264184912691,inf,9321575.233739972,9.894112805339299,983109.5400849505,1068770.2146232375,20426234.036528677,inf,2041934.892419209,inf
Fz_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,62,0.4394083118019994,1377965682.0556073,1335941408.3064678,8642735.86632432,23307504.95937821,inf,2329853.0389945614,inf,1.0,0.09996149493715335,inf,8642735.86632432,10.671240948765034,983109.5400849505,1068770.2146232375,31694267.21468425,inf,3168314.707016963,inf
Fz_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,38,0.40244596415060147,2256296296.2714953,2185318437.634552,26498637.08805819,556657.5829052739,inf,55652.06491432197,inf,1.0,0.0999754007191747,inf,26498637.08805819,3.480507943846059,983109.5400849505,1068770.2146232375,490254.34159666405,inf,49013.788300707456,inf
Fz_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,87,0.4895007041848837,1936170855.6242585,1875900976.8559253,21786014.7338459,1069236.9141776958,inf,106895.24616315839,inf,1.0,0.09997339667735558,inf,21786014.7338459,4.233390916733265,983109.5400849505,1068770.2146232375,1394096.077887229,inf,139373.14492051312,inf
Fyz_max,Main Bearing_UW,LoadedTaperRollerBearingResults,True,84,0.4723787018421618,1611628199.7509718,1562468412.3756533,13612347.024676329,5127313.588846549,inf,512566.7283401589,inf,1.0,0.09996789146174828,inf,13612347.024676329,6.775372146984573,983109.5400849505,1068770.2146232375,7191341.852661364,inf,718914.6205137096,inf
Fyz_max,Main Bearing_DW,LoadedTaperRollerBearingResults,True,38,0.40239452069135156,1832967633.013566,1776636352.5102105,15979797.15051248,3004432.0103716576,inf,300352.7252398852,inf,1.0,0.09996988588958972,inf,15979797.15051248,5.77158245610912,983109.5400849505,1068770.2146232375,3020695.6124935527,inf,301984.4121759916,inf
Fyz_min,Main Bearing_UW,LoadedTaperRollerBearingResults,True,40,0.40740860644971194,1471016730.3609564,1426156496.2992463,9321575.233739972,18114883.983613376,inf,1810811.6597924293,inf,1.0,0.09996264184912691,inf,9321575.233739972,9.894112805339299,983109.5400849505,1068770.2146232375,20426234.036528677,inf,2041934.892419209,inf
Fyz_min,Main Bearing_DW,LoadedTaperRollerBearingResults,True,62,0.4394083118019994,1377965682.0556073,1335941408.3064678,8642735.86632432,23307504.95937821,inf,2329853.0389945614,inf,1.0,0.09996149493715335,inf,8642735.86632432,10.671240948765034,983109.5400849505,1068770.2146232375,31694267.21468425,inf,3168314.707016963,inf
