index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,5.94361,75642.216,3911.231,168.076,-5064.063,33018.91,-18291.568,31055.458
1,5.87501,74769.421,3839.445,156.612,-5067.018,32055.021,-16978.281,33159.15
2,5.87168,74727.041,3890.057,89.728,-5012.055,31961.954,-18821.343,18993.425
3,6.14863,78251.437,4238.085,72.911,-4977.365,38923.894,-20774.891,9173.445
4,6.15832,78374.759,4290.716,30.24,-4986.016,39742.901,-13777.107,8958.333
5,6.11016,77761.97,4113.683,78.644,-4990.76,37143.202,-17764.745,11520.012
6,5.74059,73058.575,3620.502,37.687,-5035.106,31282.309,-10154.29,13297.616
7,5.42442,69034.785,3498.942,54.906,-5039.137,27416.026,-17687.605,16935.753
8,6.01172,76509.284,4206.388,113.004,-4974.659,35512.479,-31243.156,14615.836
9,6.16605,78473.263,4394.268,102.975,-5006.038,41186.823,-22289.959,16915.196
10,6.12327,77928.816,4221.485,64.072,-5003.072,42260.77,-23619.731,11171.806
11,6.11498,77823.439,3971.46,70.955,-5018.431,42170.434,-20140.673,15629.756
12,6.1871,78741.287,3720.415,80.778,-5010.258,43173.538,-27060.946,17601.763
13,5.90751,75182.911,3728.576,57.904,-4984.834,41503.743,-23801.672,11437.476
14,5.79798,73788.959,3739.632,49.939,-4984.718,31288.096,-25590.802,12611.904
15,5.46755,69583.814,3357.471,21.762,-5015.758,28126.269,-23531.75,11129.97
16,5.10259,64938.835,2981.487,32.777,-4973.076,24380.625,-31869.444,7614.954
17,5.14092,65426.775,3107.214,34.195,-4960.226,24552.869,-34689.775,2732.126
18,5.10392,64956.016,3048.243,-24.056,-4987.657,24219.291,-22646.318,4828.056
19,4.93276,62777.465,2851.242,-54.49,-5006.941,22653.752,-11292.358,5602.585
20,5.32573,67778.663,3423.516,-51.957,-5012.555,26553.655,-11356.455,7017.138
21,5.9868,76192.008,4172.09,46.795,-5009.024,33983.218,-16932.096,14132.53
22,6.15944,78389.267,4217.244,96.109,-5004.952,36258.082,-17808.533,18981.517
23,5.88042,74838.145,3827.946,96.543,-5040.695,32716.869,-20780.038,19534.833
24,5.60274,71304.204,3533.768,136.768,-5023.82,29334.474,-30170.084,24607.998
25,5.3586,68197.116,3260.986,85.633,-5021.625,26790.526,-23954.422,20573.963
26,5.18631,66004.439,3152.845,83.451,-5034.405,25016.555,-17443.503,24011.114
27,5.59293,71179.356,3718.741,53.229,-5069.487,29271.006,-6545.93,23073.207
28,5.9937,76279.822,4117.714,88.481,-5020.541,33575.042,-15782.959,19155.824
29,6.17834,79022.673,4311.205,167.865,-5047.894,38360.332,-18235.959,28664.496
