index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,0.0116,94.196,464.923,-4.073,-4963.215,41.525,-28067.493,137.468
1,0.03958,321.045,465.415,5.186,-4964.772,1.683,-28101.654,83.811
2,0.05331,432.522,465.262,6.396,-4964.665,1.494,-28125.585,90.76
3,0.05462,443.231,466.193,-4.333,-4966.622,-1.571,-28165.679,-109.104
4,0.04354,353.173,465.748,-4.961,-4966.473,-1.635,-28130.796,123.702
5,0.03591,291.35,465.926,-6.402,-4967.582,-1.2,-28156.972,81.476
6,0.02718,220.52,466.078,-4.938,-4968.29,-0.732,-28133.883,90.536
7,0.03147,255.327,466.088,-4.777,-4969.271,1.092,-28071.466,103.069
8,0.04629,375.566,465.88,-3.393,-4965.118,1.196,-28052.476,94.876
9,0.04143,336.135,465.961,-4.62,-4966.052,-1.6,-28071.822,50.554
10,0.0308,249.972,465.251,-6.939,-4966.621,-1.705,-28104.439,68.85
11,0.02693,218.573,464.749,-5.618,-4966.904,1.644,-28158.317,148.401
12,0.0326,264.576,465.537,-5.088,-4963.511,-1.255,-28173.772,-180.305
13,0.02178,176.708,465.543,-6.137,-4961.793,1.019,-28126.168,184.876
14,0.02376,192.773,465.205,-6.342,-4964.819,-1.168,-28165.201,239.749
15,0.01317,106.853,465.64,-8.947,-4964.336,1.498,-28135.77,241.415
16,0.03131,254.11,465.386,-7.299,-4964.484,1.608,-28126.651,155.325
17,0.04112,333.701,465.589,-6.56,-4963.192,-1.272,-28098.434,-223.07
18,0.02687,218.086,465.453,4.686,-4960.671,-1.415,-28095.582,-343.332
19,0.00402,32.616,464.579,12.257,-4965.745,41.737,-28048.111,-303.425
20,0.00264,21.419,464.456,13.068,-4962.561,16.849,-27991.787,-231.747
21,0.00139,11.196,464.76,6.046,-4963.827,13.64,-28084.598,-202.05
22,0.01006,81.539,463.844,8.697,-4965.373,36.534,-28135.538,-236.034
23,0.02826,229.283,463.872,9.991,-4962.08,1.35,-28082.162,-251.855
24,0.0535,433.982,464.464,10.064,-4962.719,1.317,-28087.642,-195.328
25,0.06146,498.727,464.695,6.079,-4962.837,-1.202,-28084.942,-163.984
26,0.0413,335.162,465.745,-8.167,-4964.344,-1.652,-28115.519,-103.705
27,0.03091,250.702,465.137,-6.933,-4963.284,1.34,-28131.9,-84.832
28,0.03647,295.974,464.544,-6.133,-4965.497,-1.21,-28098.631,-120.221
29,0.03066,249.972,464.667,7.397,-4965.192,-1.201,-28143.933,-147.002
