index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.02696,6020.943,2162.698,-113.853,-4981.851,44479.983,-20334.76,-7475.475
1,6.26352,6257.256,2239.381,-243.48,-4991.312,43275.416,14936.659,16056.635
2,6.09479,6088.705,2312.706,-222.841,-5029.136,44183.986,11933.775,21769.279
3,6.07015,6064.07,2394.173,-104.886,-5080.286,44368.487,-11301.98,21968.35
4,6.32655,6320.223,2272.563,53.137,-5002.884,42550.963,-26512.812,11705.166
5,6.4789,6472.411,2304.664,-182.215,-5004.411,42553.979,-9893.114,6793.144
6,6.02389,6017.856,1980.684,-204.758,-4996.286,44262.135,-6779.341,7242.123
7,5.75309,5747.347,2622.267,-186.16,-5024.517,44976.071,-7921.515,5926.5
8,6.44404,6437.586,2354.078,-110.102,-5036.097,41669.743,-14724.054,14942.811
9,6.03818,6032.152,2161.292,-158.61,-5020.616,44423.198,-14276.256,13713.111
10,6.35086,6344.499,2534.031,-287.532,-5008.712,43282.568,26398.467,-5730.919
11,6.10799,6101.892,2283.032,-183.442,-5072.958,43977.812,-9139.609,12897.762
12,6.47756,6471.092,2325.456,-132.933,-5016.046,42211.223,-22644.746,-9456.075
13,6.03498,6028.945,2241.751,-141.961,-5026.017,44554.516,-16889.956,9722.371
14,6.19047,6184.28,2088.885,-162.771,-5020.098,43607.775,-5434.527,7481.67
15,6.19451,6188.325,2226.648,-210.073,-4973.023,43692.717,8354.334,-14517.831
16,5.88785,5881.972,2192.756,-206.168,-4985.92,44980.351,7293.995,-14200.192
17,5.93722,5931.273,2670.009,-203.87,-5050.055,44952.576,12057.886,9395.142
18,6.28795,6281.652,2608.624,-244.027,-5115.205,42860.668,24865.744,25007.514
19,6.38813,6381.752,2345.287,-252.342,-5140.625,42292.184,23053.681,47447.606
20,6.34349,6337.157,2389.818,-199.19,-5042.952,42742.511,-10555.265,16363.602
21,6.15677,6150.623,2116.588,-226.45,-5081.789,43952.558,6244.189,26483.201
22,6.25243,6246.168,2271.432,-214.471,-5092.889,43344.315,-6066.991,26909.577
23,6.08265,6076.567,2315.296,-113.826,-5075.893,44082.687,-24163.013,18997.466
24,6.00559,5999.574,2637.722,-89.62,-5120.439,44858.026,-18212.74,30287.412
25,6.33533,6329.005,2337.326,-89.391,-5039.088,42603.494,-22928.364,6653.944
26,6.22811,6221.892,2253.729,-158.641,-5061.964,43604.905,-15427.168,22707.462
27,6.55383,6547.276,2410.803,-178.928,-5058.362,42277.896,-7133.831,27708.855
28,6.28754,6281.262,1986.667,-153.515,-5002.634,42623.938,-11521.944,7952.144
29,5.9689,5992.741,2169.845,-174.482,-5058.29,44740.359,-13959.714,16346.682
