index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.24001,2770.56,2170.916,-178.276,-5028.883,43861.025,-22748.582,18538.241
1,6.13291,2723.008,2256.837,-275.269,-5085.238,44044.447,10256.795,20860.295
2,5.92451,2630.487,2330.172,-218.283,-5011.357,44968.15,18820.844,13793.568
3,6.49815,2885.179,2257.769,-200.934,-4955.132,41668.655,12082.322,-13280.661
4,6.3502,2819.484,2016.051,-135.952,-4966.628,42474.316,-15876.4,-12146.432
5,5.82498,2586.291,2134.844,-148.337,-5012.146,45088.145,-14203.451,7009.499
6,6.29408,2794.576,2486.322,-129.977,-5100.475,43746.858,-22201.761,23757.492
7,6.47908,2876.707,2018.838,-108.328,-5100.263,41872.014,-28359.482,19152.485
8,6.2883,2792.005,1907.2,-207.638,-5029.76,42551.158,-8238.805,11134.544
9,5.76211,2558.372,1943.738,-149.497,-5039.621,44978.076,-23848.284,10572.66
10,6.35186,2820.23,2456.723,-218.684,-5092.785,43185.337,-19475.197,20423.647
11,6.0184,2672.165,1932.091,-256.51,-4981.504,44424.765,8748.308,-11869.625
12,5.94869,2641.223,2254.229,-238.993,-5077.866,44843.026,16194.968,13295.425
13,6.24682,2773.584,2647.608,-137.34,-5112.512,43969.002,-18098.442,23277.737
14,6.41798,2849.588,2193.727,-284.905,-5043.339,42269.223,12512.66,18393.296
15,6.38356,2834.296,1918.321,-318.876,-5029.283,42231.577,14809.483,14811.7
16,6.12255,2718.412,2011.777,-277.937,-5015.876,44010.43,13508.93,12663.891
17,5.98215,2656.075,1957.12,-301.892,-4986.153,44843.221,20618.362,9354.277
18,5.83968,2592.818,2303.304,-253.26,-5050.396,45067.678,14223.156,17870.38
19,6.30108,2797.68,2555.19,-159.768,-5103.068,43351.498,-11807.807,20900.527
20,6.54382,2905.452,2098.505,-294.81,-5063.562,41147.522,20803.433,24663.32
21,6.06727,2693.863,1950.747,-280.016,-5008.315,44096.33,19871.494,15510.824
22,6.12531,2719.638,2284.07,-216.076,-5074.862,44266.615,10016.562,18521.171
23,5.98158,2655.822,2497.952,-202.726,-5113.324,44923.231,10560.471,30506.282
24,6.4867,2880.09,2078.473,-159.941,-5008.435,41641.444,-14715.851,-13410.805
25,6.22965,2765.965,2293.044,-181.957,-5043.456,43947.289,10584.643,9357.537
26,6.18436,2745.851,1853.441,-233.195,-4981.837,44270.632,8510.985,8980.309
27,6.02091,2673.284,2190.247,-224.493,-4996.535,44622.62,11402.408,-7474.023
28,6.42328,2851.932,2232.582,-254.138,-4989.601,42697.735,18863.93,10953.419
29,5.94846,2654.316,2040.219,-251.326,-5017.585,44738.12,16927.583,23911.758
