index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,5.98326,12217.817,2425.812,-56.936,-5035.994,44796.676,-24927.945,17404.969
1,6.08504,12425.672,2562.726,-54.369,-5080.15,44094.222,-24122.418,26714.957
2,6.37142,13010.46,2589.836,-136.481,-5019.116,42392.428,-10187.112,21029.529
3,6.08792,12431.553,2416.416,-172.567,-5040.356,44240.511,8983.073,22002.426
4,6.21733,12695.767,2432.584,-191.5,-4967.341,43225.256,14281.234,-12181.682
5,6.11889,12494.773,2495.294,-56.691,-5000.199,43704.27,-23355.59,-6892.549
6,6.31745,12900.253,2494.875,-100.301,-5053.52,42599.456,-22009.165,23014.992
7,6.12184,12500.777,2381.488,-108.737,-5021.023,43952.645,-19656.276,18904.317
8,6.31155,12888.185,2487.069,-142.875,-5067.82,42843.362,-13001.188,22547.58
9,5.80616,11856.199,2703.904,-82.876,-5038.007,45091.513,-21226.185,13663.063
10,6.0262,12305.48,2824.13,-96.445,-5063.822,44402.315,-12495.871,18399.261
11,6.45018,13171.268,3033.863,-120.249,-5086.356,42690.678,-9745.877,19137.367
12,6.12786,12513.09,2458.876,-193.439,-5113.497,44023.123,9800.056,23842.196
13,6.18098,12621.582,2916.858,-86.931,-5075.189,44152.456,-6632.848,21675.833
14,6.34468,12955.816,2395.671,-125.8,-5096.173,42250.541,-17632.952,32645.378
15,6.14638,12550.888,2345.59,-122.39,-4982.234,43669.236,-15198.358,-7035.144
16,6.1729,12605.041,2836.913,61.206,-5011.202,44138.372,-32094.246,11590.83
17,6.35372,12974.317,2155.392,-113.446,-5040.333,42755.327,-23295.266,8337.268
18,5.82676,11898.224,2648.875,-158.175,-5014.567,45083.663,-4050.578,5807.232
19,6.25063,12763.766,2764.811,-132.913,-5036.023,43063.081,-16332.232,15847.907
20,6.35532,12977.563,2456.897,-215.697,-5071.739,42488.795,11951.292,20206.362
21,6.40883,13086.851,2295.569,-197.622,-5096.636,41797.573,7136.842,24085.083
22,6.32488,12915.385,2170.589,-172.621,-4992.229,42506.976,-10297.07,10859.656
23,6.13364,12524.913,2123.993,-124.14,-4909.663,43736.596,-6337.697,-22976.682
24,5.94988,12149.635,2271.685,-219.321,-4982.862,44771.398,19864.071,6905.091
25,6.17875,12616.987,2497.096,-127.771,-5074.178,43504.931,8268.411,21000.945
26,6.32676,12919.244,2255.389,-129.909,-4975.068,42378.314,-9018.328,-8858.709
27,6.37307,13013.829,2267.176,-188.224,-4928.018,42283.146,6273.267,-9237.579
28,5.82949,11903.798,2446.415,-118.542,-4996.026,44985.322,-16204.404,12289.688
29,6.37887,13090.772,2546.089,-116.871,-5029.433,42843.309,-16482.496,17628.897
