index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,3.50065,11668.8,862.626,1.659,-4965.327,78.037,-28134.501,2469.739
1,2.79975,9332.5,-145.113,2.212,-4974.503,-21.165,-32549.859,-1454.104
2,1.20402,4013.4,409.658,3.05,-4965.983,-15.729,-29588.832,-872.146
3,0.50134,1671.1,467.51,2.055,-4964.1,-5.52,-28367.927,480.548
4,0.26083,869.4,470.687,1.59,-4965.913,-2.207,-28211.363,417.019
5,0.14401,480.0,468.754,2.038,-4965.239,-1.235,-28203.427,-325.397
6,0.07172,239.1,467.833,2.364,-4963.299,-0.784,-28235.395,-397.462
7,0.0336,112.0,466.689,2.777,-4962.139,-0.316,-28198.406,-326.838
8,0.01996,66.5,464.643,3.103,-4961.683,-0.164,-28132.117,-207.191
9,0.01604,53.7,465.709,3.134,-4961.48,-0.073,-28110.558,224.548
