index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.23711,1039.52,1870.109,-167.058,-4901.525,41302.773,3045.161,-1447.988
1,5.94394,990.655,1251.533,-148.694,-4839.174,27960.709,3222.816,-9126.513
2,4.83345,805.575,695.079,-87.268,-4771.84,13243.277,-5509.582,-21316.991
3,3.08124,513.54,302.638,103.132,-4695.801,-34.284,-28760.298,-25495.642
4,0.93551,155.92,387.488,187.53,-4583.615,-22.784,-30572.857,-10846.745
5,0.2092,34.865,438.929,220.612,-4659.857,-1.984,-25876.488,-6639.175
6,0.14987,24.98,419.643,283.42,-4632.937,-1.13,-22946.777,-4371.674
7,0.11068,18.445,400.998,300.066,-4584.636,-0.83,-22856.27,-1656.562
8,0.10809,18.015,392.227,295.701,-4550.673,0.668,-24950.303,1772.319
9,0.13886,23.26,392.122,254.418,-4523.12,1.252,-27315.335,1326.881
