index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.26315,23674.745,2559.919,-92.264,-5026.827,42905.358,-15625.624,10636.049
1,6.13998,23209.124,2657.864,-89.866,-5019.428,43861.411,-13059.97,6792.844
2,5.77992,21848.098,2836.312,62.056,-5024.567,44964.48,-23710.219,15996.168
3,6.39365,24168.035,3150.504,-42.226,-5008.897,42794.067,-16523.221,14487.672
4,6.18787,23390.111,2668.175,-143.347,-5042.422,43271.998,5969.824,10811.053
5,6.10927,23093.003,2828.799,70.672,-5069.382,43802.898,-21799.418,21020.289
6,6.43565,24326.795,2623.202,56.616,-5027.539,41907.841,-30808.329,21871.712
7,6.23451,23566.448,2287.569,-72.852,-4996.18,43204.066,-25760.313,9987.187
8,6.20003,23436.151,2735.622,39.798,-5034.411,43720.501,-32758.707,15396.45
9,6.28544,23759.001,2242.282,-150.489,-5014.94,42556.462,-9181.1,9167.04
10,5.83156,22043.259,2750.019,-93.563,-5020.097,45010.494,-17447.566,10775.661
11,6.23651,23574.046,2668.86,-131.216,-4999.483,42972.79,-5501.257,5932.272
12,6.3119,23859.02,2605.573,-135.616,-5077.205,42530.594,-9013.996,20892.899
13,6.02755,22784.101,2609.912,-81.197,-4991.933,44479.089,-17768.063,9716.177
14,6.01427,22733.978,2948.19,-145.967,-5038.323,44621.325,5601.092,14567.151
15,6.31303,23863.216,2727.827,-104.715,-5028.474,42418.15,-11057.151,16266.753
16,6.01293,22728.875,2933.593,-91.259,-5019.135,44479.213,-19952.515,9145.635
17,6.26068,23665.333,3177.045,57.283,-5066.665,43171.168,-24173.061,13377.588
18,6.32282,23900.297,2695.999,-67.772,-5068.324,42408.333,-15191.973,22443.538
19,6.32593,23911.978,2637.311,-94.547,-5049.497,42298.816,-6487.63,19559.399
20,5.95139,22496.292,2739.266,-95.587,-5105.209,44813.535,-9468.867,31333.773
21,6.11745,23123.961,3090.16,-89.867,-5080.876,44034.433,-5434.615,22057.88
22,6.11832,23127.25,3038.274,-91.084,-5111.862,43721.582,-5563.56,27717.093
23,6.00106,22683.969,3501.183,-62.951,-5076.636,44653.762,-8655.536,20869.921
24,6.54923,24756.127,3027.231,-94.214,-5025.847,41224.133,6642.081,7419.012
25,6.41465,24247.415,2629.423,-134.755,-5013.048,41818.668,5245.957,7207.701
26,6.22395,23526.531,2293.633,-165.157,-5024.203,43424.811,-4841.869,14707.815
27,6.16706,23311.525,2603.321,-76.207,-4956.203,43635.094,-16293.923,6130.828
28,5.86787,22180.586,3053.86,64.382,-5007.283,44911.224,-27810.273,13268.409
29,6.40593,24335.527,2558.604,-104.24,-5024.597,42255.807,-22161.236,14813.807
