index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,5.82968,48.581,3883.157,93.986,-5038.72,31226.609,-19752.349,23444.703
1,6.08066,50.672,3757.777,30.726,-5073.5,32407.189,-14163.234,17644.949
2,6.68743,55.729,4585.235,66.609,-5045.096,38031.293,-8143.922,20576.841
3,6.86367,57.197,4317.424,104.106,-4998.739,38922.385,-15839.986,22312.866
4,7.25333,60.444,4316.552,73.283,-5018.785,36796.702,-12477.761,11719.946
5,6.87022,57.252,1868.247,-84.771,-4983.487,27649.954,-6549.502,7774.545
6,5.2759,43.966,773.48,-74.785,-5002.93,15195.99,-17857.875,13795.494
7,3.06912,25.576,109.122,-45.015,-4949.471,684.712,-27876.327,-2260.639
8,1.00796,8.4,397.011,-13.318,-4922.118,-19.463,-29976.681,-3410.682
9,0.23324,1.944,468.871,-12.964,-4904.99,-6.23,-28469.708,-569.439
10,0.10888,0.907,463.045,6.328,-4886.778,-1.246,-28516.121,-408.83
11,0.1117,0.931,458.571,7.556,-4882.663,1.949,-28686.836,-584.369
12,0.14603,1.217,465.196,-7.636,-4891.397,-2.11,-28246.254,-871.849
13,0.13778,1.148,462.293,-16.973,-4903.114,1.835,-27940.374,-838.901
14,0.1068,0.894,463.836,-10.651,-4926.657,-1.793,-27980.392,-661.083
