index,rpm,rev_30y,Fx [kN],Fy [kN],Fz [kN],Mx [kNm],My [kNm],Mz [kNm]
0,6.27562,52.297,1821.066,-325.023,-5009.538,43058.642,21647.161,15940.765
1,6.49596,54.133,1871.094,-350.106,-5019.339,41640.459,21831.665,19384.665
2,6.60288,55.024,2108.662,-298.844,-5081.712,40604.679,16468.042,24769.297
3,6.92306,57.692,1962.462,-337.213,-5010.235,38813.249,26021.987,20073.058
4,7.13087,59.424,1613.643,-386.598,-4897.721,32927.1,29477.041,6710.041
5,5.51464,45.955,972.441,-279.227,-4878.294,21944.525,12142.957,-11413.22
6,4.50184,37.515,510.375,-161.105,-4809.11,6126.169,-7787.146,-29641.564
7,1.99688,16.641,376.475,-66.15,-4749.966,-46.309,-27503.017,-18261.782
8,0.48826,4.069,482.865,68.68,-4629.495,-25.714,-32742.34,-6682.392
9,0.25178,2.098,467.155,171.947,-4666.854,8.102,-31836.58,-6199.602
10,0.17081,1.423,435.491,194.532,-4611.707,-7.723,-28015.398,-4653.827
11,0.1896,1.58,450.104,54.487,-4579.588,10.016,-25015.802,3636.661
12,0.19179,1.598,454.358,-47.183,-4579.405,11.136,-26866.935,3625.304
13,0.25189,2.099,403.6,-259.269,-4501.522,-7.833,-29584.355,4325.29
14,0.11934,1.0,468.022,-168.998,-4584.124,-10.087,-28619.91,-3061.856
