t,rpm,Mx,My,Mz,Fx,Fy,Fz
6.8,3.49507,165.138,-28927.3,513.958,1106.64,2.08687,-4964.87
6.9,3.49498,161.057,-29029.1,452.167,1106.83,1.78663,-4965.64
7.0,3.49481,159.302,-29120.7,389.084,1107.02,1.34787,-4966.22
7.1,3.49459,157.013,-29200.9,321.143,1107.26,0.8375,-4966.52
7.2,3.49447,153.256,-29269.2,247.956,1107.51,0.37525,-4966.46
7.3,3.49444,148.592,-29325.1,170.473,1107.7,0.00075,-4966.0
7.4,3.49449,144.934,-29368.2,88.9096,1107.76,-0.38625,-4965.19
7.5,3.4946,143.161,-29398.9,6.00998,1107.66,-0.86775,-4964.16
7.6,3.49476,142.988,-29418.0,-76.3933,1107.42,-1.52775,-4963.11
7.7,3.49501,142.481,-29426.7,-158.466,1107.11,-2.4565,-4962.21
7.8,3.49532,142.439,-29426.7,-238.545,1106.79,-3.63775,-4961.58
7.9,3.49563,142.543,-29418.8,-316.565,1106.5,-5.029,-4961.21
8.0,3.49583,144.076,-29403.4,-393.237,1106.27,-6.542,-4960.98
8.1,3.49591,147.011,-29380.8,-469.668,1106.07,-8.041,-4960.72
8.2,3.49597,151.738,-29350.7,-546.469,1105.85,-9.3855,-4960.33
8.3,3.49608,156.582,-29313.7,-624.801,1105.55,-10.521,-4959.8
8.4,3.49628,161.085,-29270.9,-702.86,1105.13,-11.4268,-4959.26
8.5,3.49648,165.09,-29224.2,-777.574,1104.6,-12.1325,-4958.93
8.6,3.49657,170.351,-29176.0,-847.201,1104.02,-12.71,-4959.01
8.7,3.49655,174.704,-29128.5,-911.13,1103.46,-13.1815,-4959.6
8.8,3.49648,178.946,-29083.1,-968.621,1102.98,-13.48,-4960.67
8.9,3.49645,181.557,-29040.2,-1023.33,1102.59,-13.6074,-4961.99
9.0,3.4965,184.864,-28998.9,-1075.52,1102.24,-13.4897,-4963.25
9.1,3.49657,186.699,-28958.2,-1126.6,1101.91,-13.1255,-4964.18
9.2,3.49666,189.442,-28916.8,-1176.19,1101.55,-12.5194,-4964.65
9.3,3.49677,194.6,-28874.1,-1224.34,1101.15,-11.7067,-4964.69
9.4,3.49699,200.346,-28830.3,-1270.42,1100.74,-10.6965,-4964.47
9.5,3.49728,205.319,-28786.3,-1313.16,1100.33,-9.49119,-4964.27
9.6,3.49755,211.779,-28742.5,-1352.47,1099.94,-8.16,-4964.25
9.7,3.49769,220.44,-28699.3,-1387.32,1099.57,-6.75844,-4964.5
9.8,3.49762,229.446,-28655.8,-1417.37,1099.2,-5.36503,-4964.88
9.9,3.49747,237.844,-28610.6,-1442.77,1098.8,-4.07684,-4965.18
10.0,3.49734,245.985,-28562.0,-1462.97,1098.34,-2.96487,-4965.17
10.1,3.49733,230.98,-28509.4,-1483.39,1097.83,-2.22752,-4964.71
10.2,3.49881,49.7888,-28454.6,-1510.17,1097.36,-2.18223,-4963.79
10.3,3.49947,-10.132,-28398.6,-1467.04,1096.68,-1.30666,-4962.7
10.4,3.49858,-0.539976,-28341.6,-1476.25,1096.03,-2.06694,-4961.56
10.5,3.49889,1.81011,-28293.5,-1449.68,1095.43,-1.27094,-4960.75
10.6,3.49809,-3.11025,-28255.4,-1425.01,1094.83,0.3895,-4960.55
10.7,3.49907,7.54696,-28227.8,-1480.54,1093.86,0.1305,-4960.65
10.8,3.50121,2.77736,-28214.1,-1481.35,1091.99,0.844375,-4961.03
10.9,3.5003,-6.04934,-28204.9,-1472.38,1089.02,0.97575,-4961.58
11.0,3.49903,-0.958647,-28196.2,-1510.46,1085.03,-0.729875,-4961.9
11.1,3.49852,-2.10554,-28188.3,-1503.08,1080.05,-0.69175,-4962.09
11.2,3.49799,0.354147,-28177.1,-1527.66,1074.2,-0.27725,-4962.12
11.3,3.4998,8.31582,-28164.5,-1600.55,1067.55,-0.1455,-4961.87
11.4,3.50161,1.10422,-28153.0,-1625.52,1060.17,1.62675,-4961.59
11.5,3.50101,-2.98565,-28139.8,-1667.49,1052.32,2.4995,-4961.32
11.6,3.50073,1.00397,-28126.7,-1722.35,1044.19,2.381,-4961.01
11.7,3.50088,-0.0503629,-28113.6,-1737.98,1035.76,3.31125,-4960.8
11.8,3.50172,5.05053,-28097.7,-1796.1,1026.95,3.63025,-4960.47
11.9,3.50454,8.98372,-28081.1,-1872.36,1017.6,4.01125,-4959.87
12.0,3.50641,1.35369,-28063.8,-1917.55,1007.58,5.357,-4959.15
12.1,3.50656,0.0299036,-28043.5,-1988.14,996.966,5.54475,-4958.22
12.2,3.50705,2.05626,-28020.5,-2048.94,985.766,5.5185,-4957.1
12.3,3.50758,1.19859,-27991.7,-2089.53,973.935,6.2535,-4955.87
12.4,3.5089,5.88813,-27954.8,-2175.82,961.448,6.57975,-4954.41
12.5,3.51113,5.33363,-27911.5,-2269.25,948.204,7.60125,-4952.79
12.6,3.51176,-1.42075,-27861.5,-2357.61,934.199,9.03,-4951.16
12.7,3.5113,-0.713992,-27804.3,-2470.66,919.553,9.11375,-4949.55
12.8,3.51136,0.764738,-27741.5,-2558.82,904.35,8.8015,-4948.1
12.9,3.51182,2.0601,-27673.1,-2632.61,888.738,8.189,-4946.98
13.0,3.51346,6.39101,-27601.2,-2728.5,872.893,6.94788,-4946.17
13.1,3.51541,3.62142,-27530.0,-2810.7,856.891,6.50763,-4945.81
13.2,3.51575,-1.18684,-27460.0,-2893.46,840.795,6.35675,-4945.88
13.3,3.51556,0.169192,-27391.3,-2987.64,824.592,5.6735,-4946.2
13.4,3.51583,1.17504,-27323.5,-3054.88,808.15,5.22,-4946.74
13.5,3.51664,3.44215,-27254.3,-3120.04,791.385,4.46875,-4947.4
13.6,3.51849,6.00756,-27184.1,-3195.97,774.235,3.40512,-4948.13
13.7,3.52,1.99785,-27115.4,-3257.5,756.652,2.91675,-4949.13
13.8,3.52011,-0.950837,-27049.4,-3325.52,738.675,2.23362,-4950.53
13.9,3.52003,0.39667,-26988.0,-3392.22,720.349,1.1805,-4952.39
14.0,3.52032,1.15105,-26930.8,-3433.02,701.73,0.356937,-4954.75
14.1,3.52113,3.27888,-26875.5,-3474.28,682.951,-0.638719,-4957.36
14.2,3.52245,3.38516,-26821.5,-3515.0,664.083,-1.31209,-4959.93
14.3,3.52283,-1.18493,-26768.2,-3546.19,645.125,-1.17739,-4962.27
14.4,3.52205,-2.54939,-26714.8,-3587.98,626.058,-1.055,-4964.17
14.5,3.52138,-0.955891,-26662.0,-3623.04,606.835,-1.03222,-4965.55
14.6,3.52131,0.665776,-26610.3,-3638.54,587.484,-1.14394,-4966.54
14.7,3.52206,3.24813,-26560.8,-3651.91,568.131,-1.86287,-4967.33
14.8,3.52317,2.39471,-26516.1,-3653.64,548.849,-2.577,-4968.16
14.9,3.52335,-1.22057,-26476.6,-3646.89,529.632,-2.96806,-4969.2
15.0,3.52282,-1.3684,-26441.0,-3647.41,510.425,-3.34725,-4970.36
15.1,3.52259,0.120193,-26407.5,-3638.75,491.147,-3.4235,-4971.42
15.2,3.52294,1.8212,-26373.9,-3619.34,471.816,-3.40375,-4972.14
15.3,3.52394,3.31122,-26339.1,-3597.21,452.546,-3.69275,-4972.3
15.4,3.52479,1.06964,-26303.7,-3560.08,433.415,-3.97088,-4971.86
15.5,3.52457,-1.93429,-26268.6,-3516.02,414.452,-4.39725,-4970.95
15.6,3.52385,-1.70091,-26236.2,-3472.79,395.671,-5.15487,-4969.81
15.7,3.52343,-0.497869,-26209.2,-3418.73,377.121,-5.88575,-4968.81
15.8,3.5235,0.90048,-26189.4,-3360.36,358.923,-6.662,-4968.2
15.9,3.52392,1.13265,-26177.9,-3300.74,341.177,-7.39075,-4968.05
16.0,3.5238,-1.78327,-26175.3,-3232.33,323.856,-7.6575,-4968.27
16.1,3.52267,-3.81879,-26181.2,-3165.55,306.845,-7.6485,-4968.6
16.2,3.52133,-3.03662,-26196.0,-3101.26,290.047,-7.4705,-4968.76
16.3,3.52045,-1.48449,-26220.3,-3031.54,273.492,-7.10575,-4968.55
16.4,3.52019,0.141233,-26254.5,-2963.16,257.354,-6.93375,-4967.97
16.5,3.52024,-0.072569,-26299.4,-2894.05,241.777,-6.94525,-4967.2
16.6,3.51972,-2.52993,-26353.7,-2822.2,226.723,-6.90225,-4966.52
16.7,3.51852,-3.48938,-26414.3,-2759.05,212.042,-6.79025,-4966.11
16.8,3.51738,-2.40615,-26477.6,-2703.84,197.568,-6.291,-4966.03
16.9,3.51672,-0.991094,-26541.2,-2654.02,183.249,-5.219,-4966.19
17.0,3.51653,-0.0721437,-26604.1,-2612.12,169.188,-3.80025,-4966.43
17.1,3.51626,-1.41577,-26666.9,-2569.02,155.417,-2.1865,-4966.52
17.2,3.51519,-3.97954,-26729.7,-2521.23,141.909,-0.6565,-4966.25
17.3,3.51349,-4.67707,-26793.5,-2473.94,128.61,0.46175,-4965.5
17.4,3.51184,-3.81176,-26859.8,-2425.65,115.541,1.26412,-4964.35
17.5,3.51057,-2.68779,-26930.2,-2380.93,102.813,1.849,-4963.05
17.6,3.5096,-2.38115,-27005.4,-2345.15,90.5236,2.29662,-4961.85
17.7,3.50836,-4.08034,-27084.4,-2313.86,78.6002,2.87325,-4960.93
17.8,3.50638,-5.93746,-27165.0,-2287.96,66.8036,3.60775,-4960.33
17.9,3.50408,-5.81739,-27245.3,-2268.44,54.8888,4.45087,-4959.93
18.0,3.50206,-4.54514,-27324.7,-2250.7,42.7847,5.43625,-4959.58
18.1,3.50054,-3.29085,-27404.0,-2236.19,30.6366,6.34719,-4959.13
18.2,3.49928,-3.29322,-27484.9,-2223.69,18.6644,6.94712,-4958.52
18.3,3.49767,-5.00707,-27567.9,-2208.42,6.91958,7.09513,-4957.82
18.4,3.49545,-6.25303,-27651.5,-2193.12,-4.6992,6.66078,-4957.16
18.5,3.4931,-5.76,-27732.4,-2179.72,-16.3361,5.83134,-4956.63
18.6,3.4911,-4.52671,-27807.8,-2169.22,-28.0682,5.00652,-4956.32
18.7,3.48952,-3.64941,-27876.5,-2166.25,-39.8613,4.43395,-4956.31
18.8,3.48798,-4.32822,-27939.6,-2168.89,-51.6912,4.26244,-4956.61
18.9,3.48591,-6.28185,-27998.0,-2172.56,-63.6382,4.4195,-4957.15
19.0,3.48322,-7.40688,-28052.6,-2176.9,-75.8225,4.58413,-4957.77
19.1,3.48039,-7.09609,-28104.3,-2180.17,-88.2677,4.56669,-4958.34
19.2,3.47779,-6.27565,-28154.1,-2183.78,-100.826,4.3075,-4958.83
19.3,3.47541,-5.9518,-28203.0,-2192.51,-113.293,3.79437,-4959.3
19.4,3.4729,-6.97921,-28249.8,-2205.93,-125.603,3.16637,-4959.79
19.5,3.46987,-8.4828,-28291.5,-2222.89,-137.916,2.54275,-4960.32
19.6,3.4665,-8.73336,-28325.4,-2242.52,-150.474,2.01375,-4960.83
19.7,3.46329,-7.73608,-28351.3,-2261.25,-163.419,1.745,-4961.28
19.8,3.46051,-6.55818,-28370.8,-2279.2,-176.702,1.76975,-4961.69
19.9,3.45802,-6.3052,-28385.2,-2298.91,-190.176,1.97825,-4962.06
20.0,3.45534,-7.4914,-28397.2,-2320.28,-203.671,2.2975,-4962.31
20.1,3.45215,-8.83788,-28408.9,-2344.48,-217.168,2.48675,-4962.45
20.2,3.44867,-8.98667,-28422.1,-2371.73,-230.705,2.32825,-4962.58
20.3,3.44532,-8.15425,-28435.7,-2399.01,-244.308,1.8535,-4962.74
20.4,3.44231,-7.34366,-28447.2,-2425.38,-257.84,1.13725,-4962.9
20.5,3.43942,-7.54071,-28455.5,-2450.1,-271.226,0.3345,-4963.0
20.6,3.43623,-8.80819,-28466.4,-2470.48,-284.396,-0.2905,-4963.04
20.7,3.43255,-10.0297,-28489.7,-2486.53,-297.462,-0.73275,-4963.11
20.8,3.42862,-10.1244,-28530.4,-2498.52,-310.513,-1.0785,-4963.39
20.9,3.4248,-9.51584,-28591.9,-2506.89,-323.421,-1.37825,-4963.81
21.0,3.42116,-9.20068,-28676.1,-2515.78,-335.914,-1.78775,-4964.32
21.1,3.41747,-9.81758,-28787.2,-2529.94,-347.792,-2.367,-4965.12
21.2,3.41339,-11.1045,-28928.6,-2552.76,-359.027,-3.0655,-4966.38
21.3,3.40892,-11.7828,-29094.6,-2587.55,-369.795,-3.8345,-4968.0
21.4,3.40443,-11.1827,-29272.4,-2633.36,-380.204,-4.52125,-4969.69
21.5,3.40028,-10.0953,-29454.4,-2685.54,-390.259,-5.05975,-4971.18
21.6,3.39649,-9.44953,-29640.4,-2740.07,-399.723,-5.43575,-4972.59
21.7,3.39272,-9.9607,-29830.0,-2793.96,-408.417,-5.66875,-4974.17
21.8,3.38861,-11.1946,-30020.6,-2845.76,-416.302,-5.72113,-4975.82
21.9,3.38409,-11.8745,-30207.7,-2897.11,-423.457,-5.68425,-4977.27
22.0,3.3795,-11.6537,-30388.1,-2946.6,-429.982,-5.57212,-4978.61
22.1,3.3751,-10.9676,-30568.2,-2990.77,-435.758,-5.45975,-4980.09
22.2,3.37085,-10.8117,-30748.0,-3025.5,-440.755,-5.44338,-4981.8
22.3,3.36649,-11.6343,-30921.6,-3047.2,-444.985,-5.56213,-4983.48
22.4,3.36173,-12.7785,-31095.4,-3054.18,-448.468,-5.69569,-4984.7
22.5,3.35666,-13.1671,-31271.7,-3048.34,-451.491,-5.68481,-4985.73
22.6,3.35157,-12.8864,-31451.8,-3033.74,-454.163,-5.474,-4986.74
22.7,3.34666,-12.4582,-31632.7,-3011.05,-456.353,-5.00956,-4987.37
22.8,3.34179,-12.6405,-31811.8,-2984.45,-457.779,-4.51122,-4987.46
22.9,3.33667,-13.5928,-31992.2,-2955.03,-458.306,-3.9623,-4987.44
23.0,3.33114,-14.7756,-32178.3,-2923.29,-457.993,-3.3896,-4987.69
23.1,3.32538,-14.8399,-32361.9,-2894.38,-457.057,-3.09128,-4988.03
23.2,3.31977,-13.9603,-32537.1,-2870.4,-455.544,-2.96263,-4988.05
23.3,3.31452,-12.9733,-32702.3,-2854.9,-453.382,-2.85478,-4987.73
23.4,3.30947,-12.9184,-32865.1,-2850.6,-450.504,-2.63138,-4987.22
23.5,3.30433,-13.5215,-33030.0,-2854.84,-446.899,-2.10938,-4986.5
23.6,3.29892,-14.239,-33192.9,-2859.19,-442.623,-1.31037,-4985.44
23.7,3.29337,-14.2457,-33351.0,-2854.58,-437.824,-0.45275,-4983.95
23.8,3.28793,-13.693,-33502.5,-2833.23,-432.472,0.333125,-4982.47
23.9,3.28266,-13.3734,-33644.8,-2791.97,-426.419,1.12975,-4981.5
24.0,3.2774,-13.6525,-33768.6,-2731.37,-419.569,2.061,-4981.01
24.1,3.27195,-14.3573,-33865.7,-2648.98,-412.036,3.14212,-4980.59
24.2,3.26626,-14.8067,-33935.3,-2538.92,-404.034,4.15712,-4980.17
24.3,3.26056,-14.4331,-33981.8,-2395.9,-395.729,4.79563,-4979.99
24.4,3.25509,-13.6581,-34005.8,-2219.57,-387.176,4.93825,-4980.06
24.5,3.24986,-13.2718,-34000.3,-2019.49,-378.352,4.738,-4979.95
24.6,3.24463,-13.6008,-33959.9,-1812.48,-369.279,4.52975,-4979.45
24.7,3.23917,-14.3815,-33886.3,-1614.21,-360.109,4.63425,-4978.81
24.8,3.23347,-14.8206,-33783.0,-1434.78,-351.095,5.1205,-4978.37
24.9,3.22777,-14.4402,-33650.1,-1277.06,-342.458,5.81075,-4978.04
25.0,3.22228,-13.6997,-33487.9,-1139.36,-334.26,6.47775,-4977.5
25.1,3.21703,-13.3186,-33305.7,-1020.86,-326.413,7.01325,-4976.73
25.2,3.21178,-13.6542,-33119.6,-921.872,-318.811,7.4625,-4976.04
25.3,3.2063,-14.4592,-32941.4,-841.012,-311.466,7.88825,-4975.51
25.4,3.20055,-14.9965,-32772.9,-773.743,-304.486,8.20575,-4974.87
25.5,3.19472,-14.9076,-32611.6,-712.024,-297.936,8.24,-4973.98
25.6,3.18898,-14.5721,-32456.3,-647.961,-291.755,7.8925,-4973.11
25.7,3.18331,-14.5405,-32305.6,-578.593,-285.828,7.2295,-4972.55
25.8,3.17754,-15.0775,-32154.4,-505.751,-280.136,6.442,-4972.15
25.9,3.1715,-15.8852,-31997.6,-433.647,-274.812,5.68375,-4971.52
26.0,3.16522,-16.3261,-31837.0,-366.104,-270.019,4.9505,-4970.59
26.1,3.15888,-16.2291,-31680.2,-304.917,-265.838,4.102,-4969.61
26.2,3.1526,-16.0227,-31531.8,-252.314,-262.228,2.97175,-4968.75
26.3,3.14632,-16.243,-31389.3,-213.359,-259.09,1.51863,-4967.92
26.4,3.13983,-17.0922,-31248.1,-194.831,-256.36,-0.113125,-4967.03
26.5,3.13296,-18.1418,-31106.9,-202.896,-254.07,-1.73275,-4966.21
26.6,3.12577,-18.6999,-30965.8,-239.467,-252.259,-3.21513,-4965.63
26.7,3.1185,-18.5768,-30822.2,-300.557,-250.862,-4.55863,-4965.12
26.8,3.11135,-18.1452,-30674.5,-379.334,-249.674,-5.8495,-4964.35
26.9,3.10432,-17.953,-30528.0,-469.92,-248.384,-7.13788,-4963.22
27.0,3.09727,-18.2729,-30394.0,-569.263,-246.794,-8.36475,-4962.01
27.1,3.09005,-18.7498,-30279.5,-675.956,-245.028,-9.36625,-4960.97
27.2,3.08271,-18.911,-30185.4,-786.534,-243.331,-10.0941,-4960.0
27.3,3.07539,-18.6942,-30110.8,-894.438,-241.869,-10.7271,-4959.14
27.4,3.06816,-18.4255,-30057.2,-993.038,-240.653,-11.5028,-4958.75
27.5,3.06096,-18.5723,-30025.9,-1079.68,-239.584,-12.4972,-4959.21
27.6,3.0536,-19.2186,-30011.6,-1158.27,-238.569,-13.5831,-4960.29
27.7,3.04598,-19.9222,-30005.7,-1237.12,-237.565,-14.5527,-4961.41
27.8,3.03816,-20.1909,-30007.8,-1323.6,-236.449,-15.2427,-4962.18
27.9,3.03035,-19.9186,-30024.1,-1422.02,-234.992,-15.6692,-4962.75
28.0,3.02268,-19.4605,-30058.8,-1535.43,-232.936,-15.9826,-4963.35
28.1,3.01514,-19.294,-30108.4,-1667.6,-230.14,-16.2303,-4963.87
28.2,3.00759,-19.5236,-30166.9,-1824.17,-226.691,-16.3131,-4964.24
28.3,2.99994,-19.7257,-30234.0,-2009.31,-222.872,-16.0629,-4964.75
28.4,2.99231,-19.461,-30312.3,-2220.37,-219.041,-15.4186,-4965.81
28.5,2.98488,-18.6766,-30400.5,-2446.59,-215.477,-14.5471,-4967.37
28.6,2.97778,-17.7724,-30494.9,-2672.37,-212.288,-13.7385,-4968.99
28.7,2.97096,-17.3157,-30596.3,-2882.97,-209.436,-13.172,-4970.39
28.8,2.96419,-17.4859,-30711.7,-3069.2,-206.849,-12.7875,-4971.63
28.9,2.95729,-17.9624,-30846.1,-3227.16,-204.514,-12.3776,-4972.77
29.0,2.95023,-18.3158,-30996.9,-3354.48,-202.473,-11.7836,-4973.64
29.1,2.94309,-18.3546,-31158.2,-3447.97,-200.714,-11.0271,-4974.18
29.2,2.93596,-18.2782,-31326.9,-3504.04,-199.129,-10.23,-4974.81
29.3,2.92882,-18.4402,-31500.7,-3521.45,-197.558,-9.47425,-4976.0
29.4,2.92155,-18.894,-31672.8,-3503.39,-195.911,-8.73775,-4977.75
29.5,2.9141,-19.3407,-31834.1,-3455.69,-194.194,-7.9395,-4979.57
29.6,2.90655,-19.4387,-31980.3,-3383.0,-192.451,-7.04,-4981.07
29.7,2.89904,-19.1134,-32113.3,-3286.66,-190.679,-6.1055,-4982.18
29.8,2.89168,-18.712,-32234.0,-3165.2,-188.842,-5.253,-4982.86
29.9,2.8844,-18.7139,-32338.3,-3017.37,-186.944,-4.5315,-4982.89
30.0,2.87701,-19.2818,-32421.5,-2844.61,-185.09,-3.85575,-4982.12
30.1,2.86933,-20.1857,-32485.2,-2649.91,-183.443,-3.036,-4980.86
30.2,2.8613,-21.0315,-32535.6,-2435.06,-182.124,-1.93225,-4979.62
30.3,2.85299,-21.6025,-32577.6,-2198.63,-181.085,-0.59125,-4978.61
30.4,2.84449,-22.0463,-32615.4,-1936.14,-180.035,0.80525,-4977.74
30.5,2.83579,-22.6755,-32654.2,-1645.7,-178.639,1.953,-4977.04
